"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912797KS5","Bill","52-Week","04/16/2024","04/18/2024","04/17/2025","95.030389"
"912797KJ5","Bill","52-Week","03/19/2024","03/21/2024","03/20/2025","95.136556"
"912797KA4","Bill","52-Week","02/20/2024","02/22/2024","02/20/2025","95.252833"
"912797JR9","Bill","52-Week","01/23/2024","01/25/2024","01/23/2025","95.379222"
"912796ZV4","Bill","52-Week","12/26/2023","12/28/2023","12/26/2024","95.353944"
"912797HP5","Bill","52-Week","11/28/2023","11/30/2023","11/29/2024","94.996458"
"912797HE0","Bill","52-Week","10/31/2023","11/02/2023","10/31/2024","94.807944"
"912797GW1","Bill","52-Week","10/03/2023","10/05/2023","10/03/2024","94.757389"
"912797GL5","Bill","52-Week","09/05/2023","09/07/2023","09/05/2024","94.823111"
"912797GK7","Bill","52-Week","08/08/2023","08/10/2023","08/08/2024","94.883778"
"912797GB7","Bill","52-Week","07/11/2023","07/13/2023","07/11/2024","94.813000"
"912797FS1","Bill","52-Week","06/13/2023","06/15/2023","06/13/2024","95.015222"
"912797FH5","Bill","52-Week","05/16/2023","05/18/2023","05/16/2024","95.303389"
"912796CX5","Bill","52-Week","04/18/2023","04/20/2023","04/18/2024","95.419667"
"912797LL9","Bill","52-Week","03/21/2023","03/23/2023","03/21/2024","95.561222"
"912796Z28","Bill","52-Week","02/21/2023","02/23/2023","02/22/2024","95.151722"
"912796ZY8","Bill","52-Week","01/24/2023","01/26/2023","01/25/2024","95.480333"
"912796ZN2","Bill","52-Week","12/27/2022","12/29/2022","12/28/2023","95.434833"
"912796ZD4","Bill","52-Week","11/29/2022","12/01/2022","11/30/2023","95.394389"
"912796YT0","Bill","52-Week","11/01/2022","11/03/2022","11/02/2023","95.444944"
"912796YJ2","Bill","52-Week","10/04/2022","10/06/2022","10/05/2023","96.001056"
"912796YH6","Bill","52-Week","09/06/2022","09/08/2022","09/07/2023","96.501556"
"912796XY0","Bill","52-Week","08/09/2022","08/11/2022","08/10/2023","96.764444"
"912796XQ7","Bill","52-Week","07/12/2022","07/14/2022","07/13/2023","97.007111"
"912796X53","Bill","52-Week","06/14/2022","06/16/2022","06/15/2023","96.946444"
"912796W47","Bill","52-Week","05/18/2022","05/19/2022","05/18/2023","97.876667"
"912796V48","Bill","52-Week","04/19/2022","04/21/2022","04/20/2023","98.109222"
"912796U31","Bill","52-Week","03/22/2022","03/24/2022","03/23/2023","98.392333"
"912796T33","Bill","52-Week","02/22/2022","02/24/2022","02/23/2023","98.842278"
"912796S34","Bill","52-Week","01/25/2022","01/27/2022","01/26/2023","99.363000"
"912796R27","Bill","52-Week","12/28/2021","12/30/2021","12/29/2022","99.605667"
"912796P94","Bill","52-Week","11/30/2021","12/02/2021","12/01/2022","99.757333"
"912796N96","Bill","52-Week","11/02/2021","11/04/2021","11/03/2022","99.838222"
"912796M89","Bill","52-Week","10/05/2021","10/07/2021","10/06/2022","99.909000"
"912796M71","Bill","52-Week","09/07/2021","09/09/2021","09/08/2022","99.924167"
"912796L64","Bill","52-Week","08/10/2021","08/12/2021","08/11/2022","99.919111"
"912796K57","Bill","52-Week","07/13/2021","07/15/2021","07/14/2022","99.924167"
"912796J42","Bill","52-Week","06/15/2021","06/17/2021","06/16/2022","99.929222"
